FID;Id;Latitude;Longitude
211;0;-2270950,0000000;-233870,0000000
212;0;-2270940,0000000;-233771,0000000
213;0;-2270920,0000000;-233672,0000000
214;0;-2270910,0000000;-233573,0000000
215;0;-2270890,0000000;-233474,0000000
216;0;-2270880,0000000;-233375,0000000
217;0;-2270870,0000000;-233276,0000000
218;0;-2270850,0000000;-233177,0000000
219;0;-2270840,0000000;-233079,0000000
220;0;-2270820,0000000;-232980,0000000
221;0;-2270810,0000000;-232881,0000000
222;0;-2270790,0000000;-232782,0000000
223;0;-2270780,0000000;-232683,0000000
224;0;-2270760,0000000;-232584,0000000
225;0;-2270750,0000000;-232485,0000000
226;0;-2270730,0000000;-232386,0000000
227;0;-2270720,0000000;-232287,0000000
228;0;-2270700,0000000;-232188,0000000
229;0;-2270690,0000000;-232089,0000000
230;0;-2270680,0000000;-231990,0000000
231;0;-2270660,0000000;-231891,0000000
232;0;-2270650,0000000;-231793,0000000
233;0;-2270630,0000000;-231694,0000000
234;0;-2270620,0000000;-231595,0000000
235;0;-2270600,0000000;-231496,0000000
236;0;-2270590,0000000;-231397,0000000
237;0;-2270570,0000000;-231298,0000000
238;0;-2270560,0000000;-231199,0000000
239;0;-2270540,0000000;-231100,0000000
240;0;-2270530,0000000;-231001,0000000
241;0;-2270510,0000000;-230902,0000000
242;0;-2270500,0000000;-230803,0000000
243;0;-2270480,0000000;-230704,0000000
244;0;-2270470,0000000;-230605,0000000
245;0;-2270460,0000000;-230506,0000000
246;0;-2270440,0000000;-230408,0000000
247;0;-2270430,0000000;-230309,0000000
248;0;-2270410,0000000;-230210,0000000
249;0;-2270400,0000000;-230111,0000000
250;0;-2270380,0000000;-230012,0000000
251;0;-2270370,0000000;-229913,0000000
252;0;-2270350,0000000;-229814,0000000
253;0;-2270340,0000000;-229715,0000000
254;0;-2270320,0000000;-229616,0000000
255;0;-2270310,0000000;-229517,0000000
256;0;-2270290,0000000;-229418,0000000
257;0;-2270280,0000000;-229319,0000000
258;0;-2270270,0000000;-229220,0000000
259;0;-2270250,0000000;-229122,0000000
260;0;-2270240,0000000;-229023,0000000
261;0;-2270220,0000000;-228924,0000000
262;0;-2270210,0000000;-228825,0000000
263;0;-2270190,0000000;-228726,0000000
264;0;-2270180,0000000;-228627,0000000
265;0;-2270160,0000000;-228528,0000000
266;0;-2270150,0000000;-228429,0000000
267;0;-2270130,0000000;-228330,0000000
268;0;-2270120,0000000;-228231,0000000
269;0;-2270100,0000000;-228132,0000000
270;0;-2270090,0000000;-228033,0000000
271;0;-2270080,0000000;-227934,0000000
272;0;-2270060,0000000;-227836,0000000
273;0;-2270050,0000000;-227737,0000000
274;0;-2270030,0000000;-227638,0000000
275;0;-2270020,0000000;-227539,0000000
276;0;-2270010,0000000;-227440,0000000
277;0;-2270020,0000000;-227340,0000000
278;0;-2270020,0000000;-227240,0000000
279;0;-2270030,0000000;-227140,0000000
280;0;-2270040,0000000;-227040,0000000
281;0;-2270040,0000000;-226941,0000000
282;0;-2270050,0000000;-226841,0000000
283;0;-2270050,0000000;-226741,0000000
284;0;-2270060,0000000;-226641,0000000
285;0;-2270070,0000000;-226541,0000000
286;0;-2270070,0000000;-226442,0000000
287;0;-2270080,0000000;-226342,0000000
288;0;-2270090,0000000;-226242,0000000
289;0;-2270090,0000000;-226142,0000000
290;0;-2270100,0000000;-226042,0000000
291;0;-2270110,0000000;-225943,0000000
292;0;-2270110,0000000;-225843,0000000
